"Date","AZYAVA0LFN"
1990-01-01,43130
1990-02-01,43501
1990-03-01,44056
1990-04-01,43855
1990-05-01,44551
1990-06-01,44921
1990-07-01,45996
1990-08-01,46619
1990-09-01,46371
1990-10-01,45921
1990-11-01,45203
1990-12-01,45268
1991-01-01,45068
1991-02-01,45354
1991-03-01,45489
1991-04-01,46772
1991-05-01,46973
1991-06-01,48400
1991-07-01,48500
1991-08-01,48276
1991-09-01,48199
1991-10-01,49010
1991-11-01,48495
1991-12-01,48618
1992-01-01,49306
1992-02-01,49170
1992-03-01,49643
1992-04-01,50239
1992-05-01,50554
1992-06-01,52481
1992-07-01,53955
1992-08-01,53620
1992-09-01,54297
1992-10-01,52765
1992-11-01,52085
1992-12-01,51489
1993-01-01,52173
1993-02-01,51793
1993-03-01,52655
1993-04-01,54142
1993-05-01,55947
1993-06-01,56680
1993-07-01,56430
1993-08-01,56857
1993-09-01,58373
1993-10-01,59183
1993-11-01,59313
1993-12-01,58409
1994-01-01,56971
1994-02-01,57959
1994-03-01,59311
1994-04-01,59629
1994-05-01,61999
1994-06-01,61081
1994-07-01,62725
1994-08-01,63674
1994-09-01,64914
1994-10-01,63661
1994-11-01,64999
1994-12-01,63483
1995-01-01,63199
1995-02-01,63706
1995-03-01,63929
1995-04-01,64579
1995-05-01,64352
1995-06-01,66641
1995-07-01,65847
1995-08-01,66102
1995-09-01,67187
1995-10-01,67549
1995-11-01,66808
1995-12-01,65671
1996-01-01,62619
1996-02-01,63288
1996-03-01,64502
1996-04-01,65101
1996-05-01,65248
1996-06-01,66617
1996-07-01,68638
1996-08-01,68593
1996-09-01,67565
1996-10-01,66413
1996-11-01,66755
1996-12-01,65089
1997-01-01,65039
1997-02-01,64578
1997-03-01,66308
1997-04-01,66814
1997-05-01,68065
1997-06-01,70405
1997-07-01,69163
1997-08-01,67738
1997-09-01,68082
1997-10-01,68780
1997-11-01,68478
1997-12-01,67944
1998-01-01,66881
1998-02-01,67178
1998-03-01,68408
1998-04-01,69013
