"Date","ILDEKA5LFN"
1990-01-01,43229
1990-02-01,42645
1990-03-01,42580
1990-04-01,42107
1990-05-01,41983
1990-06-01,42582
1990-07-01,43425
1990-08-01,42147
1990-09-01,41847
1990-10-01,42188
1990-11-01,42400
1990-12-01,42553
1991-01-01,42759
1991-02-01,43138
1991-03-01,43395
1991-04-01,42803
1991-05-01,42182
1991-06-01,43024
1991-07-01,43416
1991-08-01,42667
1991-09-01,41798
1991-10-01,41987
1991-11-01,42670
1991-12-01,43209
1992-01-01,43195
1992-02-01,43770
1992-03-01,43512
1992-04-01,42903
1992-05-01,43069
1992-06-01,43935
1992-07-01,44246
1992-08-01,43192
1992-09-01,42770
1992-10-01,42840
1992-11-01,43005
1992-12-01,43473
1993-01-01,43461
1993-02-01,43794
1993-03-01,43952
1993-04-01,43504
1993-05-01,43739
1993-06-01,44651
1993-07-01,44702
1993-08-01,44136
1993-09-01,43194
1993-10-01,43367
1993-11-01,43777
1993-12-01,44085
1994-01-01,44168
1994-02-01,44365
1994-03-01,44115
1994-04-01,43808
1994-05-01,43646
1994-06-01,44303
1994-07-01,44263
1994-08-01,43801
1994-09-01,43387
1994-10-01,43683
1994-11-01,44343
1994-12-01,44726
1995-01-01,44780
1995-02-01,45111
1995-03-01,45478
1995-04-01,45511
1995-05-01,45181
1995-06-01,45932
1995-07-01,46197
1995-08-01,45787
1995-09-01,45421
1995-10-01,45628
1995-11-01,45911
1995-12-01,46016
1996-01-01,46953
1996-02-01,47195
1996-03-01,47034
1996-04-01,46674
1996-05-01,46915
1996-06-01,47433
1996-07-01,47547
1996-08-01,46803
1996-09-01,46448
1996-10-01,46568
1996-11-01,46822
1996-12-01,46958
1997-01-01,46612
1997-02-01,46155
1997-03-01,46479
1997-04-01,46032
1997-05-01,45927
1997-06-01,46949
1997-07-01,47118
1997-08-01,46399
1997-09-01,45917
1997-10-01,46157
1997-11-01,46905
1997-12-01,47102
1998-01-01,47913
1998-02-01,47940
1998-03-01,48191
1998-04-01,47093
1998-05-01,47113
1998-06-01,47915
1998-07-01,48800
1998-08-01,47793
1998-09-01,47884
1998-10-01,47926
1998-11-01,48255
1998-12-01,48474
1999-01-01,48985
1999-02-01,49028
1999-03-01,49239
1999-04-01,48670
1999-05-01,48884
1999-06-01,49807
1999-07-01,50643
1999-08-01,49775
1999-09-01,49149
1999-10-01,49329
1999-11-01,49803
1999-12-01,49916
2000-01-01,51647
2000-02-01,52089
2000-03-01,51795
2000-04-01,51461
2000-05-01,51232
2000-06-01,51808
2000-07-01,51721
2000-08-01,51385
2000-09-01,50835
2000-10-01,50478
2000-11-01,51365
2000-12-01,51354
2001-01-01,51427
2001-02-01,51530
2001-03-01,51767
2001-04-01,51339
2001-05-01,51148
2001-06-01,51795
2001-07-01,51986
2001-08-01,50964
2001-09-01,51104
2001-10-01,51022
2001-11-01,51106
2001-12-01,51046
2002-01-01,51091
2002-02-01,51382
2002-03-01,51191
2002-04-01,50785
2002-05-01,50686
2002-06-01,51021
2002-07-01,51099
2002-08-01,50303
2002-09-01,50305
2002-10-01,50462
2002-11-01,50764
2002-12-01,50789
2003-01-01,51147
2003-02-01,51414
2003-03-01,51586
2003-04-01,51030
2003-05-01,50916
2003-06-01,52112
2003-07-01,51928
2003-08-01,51418
2003-09-01,51229
2003-10-01,51219
2003-11-01,52094
2003-12-01,51781
2004-01-01,52766
2004-02-01,52950
2004-03-01,52685
2004-04-01,52139
2004-05-01,52174
2004-06-01,52848
2004-07-01,53403
2004-08-01,52260
2004-09-01,51945
2004-10-01,52041
2004-11-01,52551
2004-12-01,52631
2005-01-01,53766
2005-02-01,53824
2005-03-01,53635
2005-04-01,53329
2005-05-01,53421
2005-06-01,54192
2005-07-01,54458
2005-08-01,53782
2005-09-01,53406
2005-10-01,53530
2005-11-01,53807
2005-12-01,54226
2006-01-01,54865
2006-02-01,55044
2006-03-01,55025
2006-04-01,55054
2006-05-01,54965
2006-06-01,55932
2006-07-01,56426
2006-08-01,55839
2006-09-01,55741
2006-10-01,55862
2006-11-01,56552
2006-12-01,56768
2007-01-01,58294
2007-02-01,58747
2007-03-01,58585
2007-04-01,58185
2007-05-01,58199
2007-06-01,59307
2007-07-01,59661
2007-08-01,58740
2007-09-01,58944
2007-10-01,59169
2007-11-01,59588
2007-12-01,59844
2008-01-01,60721
2008-02-01,61057
2008-03-01,61230
2008-04-01,60885
2008-05-01,60794
2008-06-01,61123
2008-07-01,61404
2008-08-01,60331
2008-09-01,59922
2008-10-01,57964
2008-11-01,58464
2008-12-01,58961
2009-01-01,59511
2009-02-01,60082
2009-03-01,59884
2009-04-01,60369
2009-05-01,60774
2009-06-01,61436
2009-07-01,61273
2009-08-01,59817
2009-09-01,59165
2009-10-01,58976
2009-11-01,59345
2009-12-01,59311
2010-01-01,55938
2010-02-01,55421
2010-03-01,55549
2010-04-01,56012
2010-05-01,56321
2010-06-01,56914
2010-07-01,57001
2010-08-01,56984
2010-09-01,56346
2010-10-01,56159
2010-11-01,56342
2010-12-01,56679
2011-01-01,55162
2011-02-01,54454
2011-03-01,54892
2011-04-01,55189
2011-05-01,55767
2011-06-01,56419
2011-07-01,56675
2011-08-01,56251
2011-09-01,56285
2011-10-01,56402
2011-11-01,56264
2011-12-01,55579
2012-01-01,54947
2012-02-01,55169
2012-03-01,54904
2012-04-01,54769
2012-05-01,55205
2012-06-01,56192
2012-07-01,56457
2012-08-01,55567
2012-09-01,55582
2012-10-01,56003
2012-11-01,55724
2012-12-01,55017
2013-01-01,54544
2013-02-01,54229
2013-03-01,54108
2013-04-01,54165
2013-05-01,54711
2013-06-01,55459
2013-07-01,55536
2013-08-01,55135
2013-09-01,55138
2013-10-01,55240
2013-11-01,55241
2013-12-01,55020
2014-01-01,54623
2014-02-01,55022
2014-03-01,54899
2014-04-01,54823
2014-05-01,55048
2014-06-01,55713
2014-07-01,56224
2014-08-01,55073
