"Date","LASST170000000000005"
1976-01-01,4786415
1976-02-01,4785460
1976-03-01,4787596
1976-04-01,4795335
1976-05-01,4804374
1976-06-01,4812220
1976-07-01,4816599
1976-08-01,4818730
1976-09-01,4821126
1976-10-01,4826180
1976-11-01,4835787
1976-12-01,4851125
1977-01-01,4872374
1977-02-01,4896698
1977-03-01,4919338
1977-04-01,4937963
1977-05-01,4952150
1977-06-01,4962047
1977-07-01,4969329
1977-08-01,4977120
1977-09-01,4987757
1977-10-01,5000783
1977-11-01,5014697
1977-12-01,5027450
1978-01-01,5038963
1978-02-01,5049961
1978-03-01,5060566
1978-04-01,5070632
1978-05-01,5081049
1978-06-01,5093233
1978-07-01,5106550
1978-08-01,5119120
1978-09-01,5129818
1978-10-01,5138764
1978-11-01,5145509
1978-12-01,5147901
1979-01-01,5144664
1979-02-01,5138643
1979-03-01,5134804
1979-04-01,5135796
1979-05-01,5141772
1979-06-01,5150508
1979-07-01,5160721
1979-08-01,5171099
1979-09-01,5179226
1979-10-01,5183506
1979-11-01,5183227
1979-12-01,5179315
1980-01-01,5171463
1980-02-01,5157757
1980-03-01,5137472
1980-04-01,5112952
1980-05-01,5088188
1980-06-01,5067596
1980-07-01,5053315
1980-08-01,5045309
1980-09-01,5042905
1980-10-01,5044553
1980-11-01,5050123
1980-12-01,5060522
1981-01-01,5075311
1981-02-01,5093302
1981-03-01,5112980
1981-04-01,5130635
1981-05-01,5142327
1981-06-01,5146700
1981-07-01,5143544
1981-08-01,5134016
1981-09-01,5120853
1981-10-01,5106154
1981-11-01,5090236
1981-12-01,5073409
1982-01-01,5056953
1982-02-01,5040845
1982-03-01,5024547
1982-04-01,5009249
1982-05-01,4995491
1982-06-01,4981498
1982-07-01,4966699
1982-08-01,4951964
1982-09-01,4937216
1982-10-01,4922989
1982-11-01,4910778
1982-12-01,4900979
1983-01-01,4894028
1983-02-01,4891130
1983-03-01,4892749
1983-04-01,4899243
1983-05-01,4910594
1983-06-01,4926369
1983-07-01,4945373
1983-08-01,4964499
1983-09-01,4982118
1983-10-01,4997781
1983-11-01,5010695
1983-12-01,5021762
1984-01-01,5033958
1984-02-01,5049923
1984-03-01,5068477
1984-04-01,5086105
1984-05-01,5099991
1984-06-01,5109336
1984-07-01,5114218
1984-08-01,5116431
1984-09-01,5117981
1984-10-01,5121727
1984-11-01,5130409
1984-12-01,5143234
1985-01-01,5155209
1985-02-01,5160860
1985-03-01,5158942
1985-04-01,5151135
1985-05-01,5140381
1985-06-01,5130266
1985-07-01,5124267
1985-08-01,5125848
1985-09-01,5134715
1985-10-01,5147179
1985-11-01,5159319
1985-12-01,5168785
1986-01-01,5175608
1986-02-01,5182025
1986-03-01,5189537
1986-04-01,5198587
1986-05-01,5208839
1986-06-01,5219387
1986-07-01,5229465
1986-08-01,5237735
1986-09-01,5243864
1986-10-01,5248416
1986-11-01,5251353
1986-12-01,5254569
1987-01-01,5259915
1987-02-01,5268244
1987-03-01,5280767
1987-04-01,5297834
1987-05-01,5318782
1987-06-01,5341045
1987-07-01,5360292
1987-08-01,5373503
1987-09-01,5381069
1987-10-01,5383986
1987-11-01,5384050
1987-12-01,5382790
1988-01-01,5381626
1988-02-01,5382020
1988-03-01,5385090
1988-04-01,5391704
1988-05-01,5401781
1988-06-01,5415772
1988-07-01,5434411
1988-08-01,5456760
1988-09-01,5481590
1988-10-01,5508962
1988-11-01,5538628
1988-12-01,5568427
1989-01-01,5596611
1989-02-01,5620673
1989-03-01,5638351
1989-04-01,5648894
1989-05-01,5653094
1989-06-01,5652213
1989-07-01,5647699
1989-08-01,5641126
1989-09-01,5632711
1989-10-01,5622589
1989-11-01,5611251
1989-12-01,5599825
1990-01-01,5588813
1990-02-01,5578886
1990-03-01,5570303
1990-04-01,5561919
1990-05-01,5554026
1990-06-01,5547357
1990-07-01,5543253
1990-08-01,5542191
1990-09-01,5543548
1990-10-01,5545918
1990-11-01,5548725
1990-12-01,5550669
1991-01-01,5549549
1991-02-01,5544901
1991-03-01,5536746
1991-04-01,5526693
1991-05-01,5515850
1991-06-01,5504263
1991-07-01,5491052
1991-08-01,5477621
1991-09-01,5466879
1991-10-01,5460625
1991-11-01,5459501
1991-12-01,5463670
1992-01-01,5473832
1992-02-01,5488248
1992-03-01,5504928
1992-04-01,5522450
1992-05-01,5539365
1992-06-01,5555635
1992-07-01,5571744
1992-08-01,5586117
1992-09-01,5595529
1992-10-01,5598998
1992-11-01,5596092
1992-12-01,5588698
1993-01-01,5579967
1993-02-01,5574177
1993-03-01,5575718
1993-04-01,5585213
1993-05-01,5599394
1993-06-01,5614494
1993-07-01,5628304
1993-08-01,5640571
1993-09-01,5652834
1993-10-01,5665453
1993-11-01,5678151
1993-12-01,5691519
1994-01-01,5705574
1994-02-01,5718309
1994-03-01,5727208
1994-04-01,5733097
1994-05-01,5739075
1994-06-01,5746597
1994-07-01,5755382
1994-08-01,5765270
1994-09-01,5777206
1994-10-01,5791890
1994-11-01,5809100
1994-12-01,5825190
1995-01-01,5836629
1995-02-01,5843543
1995-03-01,5846772
1995-04-01,5846521
1995-05-01,5845323
1995-06-01,5846262
1995-07-01,5850181
1995-08-01,5855510
1995-09-01,5859994
1995-10-01,5862525
1995-11-01,5863729
1995-12-01,5865215
1996-01-01,5868805
1996-02-01,5875263
1996-03-01,5884838
1996-04-01,5896339
1996-05-01,5907179
1996-06-01,5915743
1996-07-01,5922883
1996-08-01,5929616
1996-09-01,5935096
1996-10-01,5938392
1996-11-01,5939981
1996-12-01,5941826
1997-01-01,5945892
1997-02-01,5952698
1997-03-01,5962689
1997-04-01,5975522
1997-05-01,5988515
1997-06-01,5999569
1997-07-01,6008300
1997-08-01,6014670
1997-09-01,6019376
1997-10-01,6023137
1997-11-01,6025883
1997-12-01,6027846
1998-01-01,6028679
1998-02-01,6028974
1998-03-01,6029421
1998-04-01,6031298
1998-05-01,6036283
1998-06-01,6043702
1998-07-01,6052083
1998-08-01,6062120
1998-09-01,6073939
1998-10-01,6087261
1998-11-01,6101211
1998-12-01,6114453
1999-01-01,6126346
1999-02-01,6136810
1999-03-01,6146025
1999-04-01,6154607
1999-05-01,6162657
1999-06-01,6171178
1999-07-01,6180454
1999-08-01,6190525
1999-09-01,6202076
1999-10-01,6214182
1999-11-01,6226158
1999-12-01,6236937
2000-01-01,6244525
2000-02-01,6246588
2000-03-01,6242216
2000-04-01,6232675
2000-05-01,6220982
2000-06-01,6209465
2000-07-01,6199132
2000-08-01,6190137
2000-09-01,6181872
2000-10-01,6174523
2000-11-01,6167385
2000-12-01,6159884
2001-01-01,6152750
2001-02-01,6147239
2001-03-01,6142766
2001-04-01,6137057
2001-05-01,6129446
2001-06-01,6119367
2001-07-01,6107545
2001-08-01,6093093
2001-09-01,6076326
2001-10-01,6058843
2001-11-01,6041133
2001-12-01,6023568
2002-01-01,6005946
2002-02-01,5987195
2002-03-01,5967568
2002-04-01,5949351
2002-05-01,5933361
2002-06-01,5920394
2002-07-01,5910199
2002-08-01,5902542
2002-09-01,5896080
2002-10-01,5888844
2002-11-01,5881874
2002-12-01,5876027
2003-01-01,5872615
2003-02-01,5873456
2003-03-01,5877884
2003-04-01,5882376
