"Date","LAUCN240310000000005"
1990-01-01,422889
1990-02-01,422710
1990-03-01,424816
1990-04-01,423338
1990-05-01,426045
1990-06-01,432544
1990-07-01,437277
1990-08-01,430587
1990-09-01,427333
1990-10-01,427578
1990-11-01,423972
1990-12-01,423941
1991-01-01,420760
1991-02-01,420298
1991-03-01,423981
1991-04-01,424675
1991-05-01,424779
1991-06-01,431319
1991-07-01,436865
1991-08-01,432291
1991-09-01,431667
1991-10-01,431454
1991-11-01,430811
1991-12-01,430194
1992-01-01,428635
1992-02-01,426727
1992-03-01,430858
1992-04-01,432487
1992-05-01,434001
1992-06-01,439967
1992-07-01,445176
1992-08-01,437991
1992-09-01,435705
1992-10-01,435425
1992-11-01,435801
1992-12-01,437010
1993-01-01,429747
1993-02-01,428888
1993-03-01,431541
1993-04-01,429339
1993-05-01,433472
1993-06-01,437390
1993-07-01,440192
1993-08-01,436467
1993-09-01,434358
1993-10-01,437482
1993-11-01,436766
1993-12-01,436083
1994-01-01,441252
1994-02-01,441597
1994-03-01,442821
1994-04-01,442724
1994-05-01,446112
1994-06-01,448490
1994-07-01,452694
1994-08-01,448183
1994-09-01,446570
1994-10-01,452212
1994-11-01,451944
1994-12-01,451829
1995-01-01,444947
1995-02-01,445452
1995-03-01,448598
1995-04-01,447928
1995-05-01,447774
1995-06-01,451355
1995-07-01,458302
1995-08-01,450696
1995-09-01,449041
1995-10-01,452164
1995-11-01,450140
1995-12-01,449904
1996-01-01,447195
1996-02-01,448272
1996-03-01,452064
1996-04-01,450232
1996-05-01,452500
1996-06-01,458134
1996-07-01,464868
1996-08-01,459479
1996-09-01,456758
1996-10-01,459216
1996-11-01,459435
1996-12-01,459384
1997-01-01,449749
1997-02-01,449185
1997-03-01,454672
1997-04-01,451856
1997-05-01,452750
1997-06-01,455739
1997-07-01,464301
1997-08-01,455878
1997-09-01,451970
1997-10-01,452684
1997-11-01,453524
1997-12-01,453977
1998-01-01,453061
1998-02-01,452846
1998-03-01,457217
1998-04-01,456212
1998-05-01,457682
1998-06-01,461184
1998-07-01,467967
1998-08-01,461984
1998-09-01,459439
1998-10-01,462348
1998-11-01,463203
1998-12-01,465885
1999-01-01,462255
1999-02-01,460911
1999-03-01,464577
1999-04-01,462724
1999-05-01,466035
1999-06-01,469624
1999-07-01,474975
1999-08-01,469534
1999-09-01,468177
1999-10-01,470574
1999-11-01,470601
1999-12-01,471828
2000-01-01,469293
2000-02-01,470399
2000-03-01,473698
2000-04-01,471724
2000-05-01,469856
2000-06-01,475928
2000-07-01,479170
2000-08-01,476631
2000-09-01,474306
2000-10-01,477124
2000-11-01,477901
2000-12-01,479462
2001-01-01,474696
2001-02-01,474463
2001-03-01,477085
2001-04-01,473936
2001-05-01,474393
2001-06-01,478172
2001-07-01,480613
2001-08-01,472981
2001-09-01,473551
2001-10-01,476752
2001-11-01,476759
2001-12-01,478034
2002-01-01,471727
2002-02-01,474754
2002-03-01,477371
2002-04-01,475770
2002-05-01,477292
2002-06-01,481038
2002-07-01,486736
2002-08-01,483134
2002-09-01,481632
2002-10-01,481495
2002-11-01,479156
2002-12-01,479228
2003-01-01,477414
2003-02-01,474392
2003-03-01,477383
2003-04-01,478425
2003-05-01,477614
2003-06-01,484360
2003-07-01,489023
2003-08-01,482658
2003-09-01,477583
2003-10-01,480250
2003-11-01,480495
2003-12-01,479923
2004-01-01,475795
2004-02-01,474465
2004-03-01,476438
2004-04-01,475428
2004-05-01,476096
2004-06-01,479251
2004-07-01,487059
2004-08-01,481979
2004-09-01,479124
2004-10-01,483329
2004-11-01,483510
2004-12-01,482857
2005-01-01,479761
2005-02-01,478586
2005-03-01,481847
2005-04-01,483564
2005-05-01,485757
2005-06-01,491251
2005-07-01,496402
2005-08-01,492261
2005-09-01,488615
2005-10-01,492843
2005-11-01,491764
2005-12-01,494053
2006-01-01,491598
2006-02-01,491959
2006-03-01,495729
2006-04-01,494253
2006-05-01,494193
2006-06-01,499743
2006-07-01,504617
2006-08-01,500129
2006-09-01,497941
2006-10-01,500982
2006-11-01,500927
2006-12-01,501377
2007-01-01,495371
2007-02-01,492661
2007-03-01,496219
2007-04-01,493982
2007-05-01,494183
2007-06-01,499910
2007-07-01,506587
2007-08-01,499193
2007-09-01,498142
2007-10-01,500711
2007-11-01,502224
2007-12-01,499744
2008-01-01,500554
2008-02-01,497826
2008-03-01,500698
2008-04-01,503584
2008-05-01,502783
2008-06-01,505692
2008-07-01,513075
2008-08-01,505066
2008-09-01,501481
2008-10-01,502636
2008-11-01,500361
2008-12-01,497157
2009-01-01,495001
2009-02-01,492204
2009-03-01,494317
2009-04-01,494654
2009-05-01,492782
2009-06-01,496888
2009-07-01,503431
2009-08-01,496440
2009-09-01,490933
2009-10-01,491767
2009-11-01,493736
2009-12-01,490834
2010-01-01,492673
2010-02-01,492534
2010-03-01,496003
2010-04-01,502958
2010-05-01,501789
2010-06-01,504326
2010-07-01,511192
2010-08-01,505270
2010-09-01,505219
2010-10-01,506129
2010-11-01,506024
2010-12-01,505379
2011-01-01,506346
2011-02-01,503923
2011-03-01,507155
2011-04-01,507061
2011-05-01,506763
2011-06-01,508049
2011-07-01,513079
2011-08-01,506775
2011-09-01,506753
2011-10-01,511490
2011-11-01,511735
2011-12-01,511177
2012-01-01,508032
2012-02-01,506471
2012-03-01,509116
2012-04-01,508297
2012-05-01,510712
2012-06-01,514742
2012-07-01,519315
2012-08-01,514050
2012-09-01,514173
2012-10-01,518618
2012-11-01,517286
2012-12-01,517509
2013-01-01,516267
2013-02-01,512139
2013-03-01,512708
2013-04-01,514871
2013-05-01,516317
2013-06-01,518567
2013-07-01,523302
2013-08-01,518471
2013-09-01,517167
2013-10-01,513971
2013-11-01,516739
2013-12-01,517111
2014-01-01,518983
2014-02-01,515600
2014-03-01,517686
2014-04-01,517009
2014-05-01,519274
2014-06-01,523393
2014-07-01,525678
2014-08-01,521183
2014-09-01,519038
2014-10-01,523731
2014-11-01,523275
2014-12-01,523527
2015-01-01,525462
2015-02-01,523056
2015-03-01,524917
2015-04-01,526401
2015-05-01,526098
2015-06-01,528699
2015-07-01,531240
2015-08-01,525630
2015-09-01,523418
2015-10-01,527260
2015-11-01,527056
2015-12-01,526482
2016-01-01,522942
2016-02-01,523784
2016-03-01,525226
2016-04-01,522996
2016-05-01,522290
2016-06-01,526930
2016-07-01,531596
2016-08-01,528480
2016-09-01,527612
2016-10-01,529395
2016-11-01,528786
2016-12-01,528088
2017-01-01,537891
2017-02-01,539898
2017-03-01,543036
2017-04-01,539248
2017-05-01,537636
2017-06-01,546203
2017-07-01,549882
2017-08-01,546600
2017-09-01,549251
2017-10-01,545487
2017-11-01,544575
2017-12-01,542159
2018-01-01,539216
2018-02-01,545191
2018-03-01,547998
2018-04-01,545361
2018-05-01,544742
2018-06-01,549823
2018-07-01,555105
2018-08-01,549174
2018-09-01,548971
2018-10-01,552198
2018-11-01,552409
2018-12-01,552242
2019-01-01,550033
2019-02-01,554236
2019-03-01,555991
2019-04-01,554837
2019-05-01,554948
2019-06-01,562474
2019-07-01,569444
2019-08-01,564631
2019-09-01,565351
2019-10-01,566056
2019-11-01,566457
2019-12-01,564067
2020-01-01,562694
2020-02-01,564428
2020-03-01,557806
2020-04-01,506490
2020-05-01,502667
2020-06-01,508532
2020-07-01,515598
2020-08-01,520934
2020-09-01,514092
2020-10-01,521272
2020-11-01,515252
2020-12-01,511089
2021-01-01,508106
2021-02-01,509556
2021-03-01,515311
2021-04-01,514842
2021-05-01,517639
2021-06-01,519938
2021-07-01,526761
2021-08-01,523048
2021-09-01,519012
2021-10-01,523782
2021-11-01,524825
2021-12-01,523988
2022-01-01,523542
2022-02-01,526066
2022-03-01,529941
2022-04-01,531425
2022-05-01,531788
2022-06-01,532459
2022-07-01,537818
2022-08-01,533085
2022-09-01,529728
2022-10-01,532109
2022-11-01,531704
2022-12-01,531664
2023-01-01,534459
2023-02-01,535966
2023-03-01,544408
2023-04-01,545305
2023-05-01,543311
2023-06-01,547289
2023-07-01,550438
2023-08-01,544369
2023-09-01,539157
2023-10-01,539877
