"Date","LAUMT372478000000004"
1990-01-01,1864
1990-02-01,1981
1990-03-01,1874
1990-04-01,1847
1990-05-01,2283
1990-06-01,2471
1990-07-01,2281
1990-08-01,2570
1990-09-01,2291
1990-10-01,2526
1990-11-01,2886
1990-12-01,2742
1991-01-01,3264
1991-02-01,3281
1991-03-01,3636
1991-04-01,3514
1991-05-01,4003
1991-06-01,4390
1991-07-01,3700
1991-08-01,3561
1991-09-01,3137
1991-10-01,3049
1991-11-01,3541
1991-12-01,3438
1992-01-01,3989
1992-02-01,4080
1992-03-01,4075
1992-04-01,3608
1992-05-01,4048
1992-06-01,4383
1992-07-01,3955
1992-08-01,3770
1992-09-01,3505
1992-10-01,3394
1992-11-01,3578
1992-12-01,3296
1993-01-01,3516
1993-02-01,3641
1993-03-01,3401
1993-04-01,3114
1993-05-01,3278
1993-06-01,3574
1993-07-01,3225
1993-08-01,3043
1993-09-01,2532
1993-10-01,2728
1993-11-01,2582
1993-12-01,2340
1994-01-01,2607
1994-02-01,2736
1994-03-01,2723
1994-04-01,2777
1994-05-01,3156
1994-06-01,3440
1994-07-01,3270
1994-08-01,3198
1994-09-01,2607
1994-10-01,2625
1994-11-01,2644
1994-12-01,2247
1995-01-01,2655
1995-02-01,2635
1995-03-01,2724
1995-04-01,2947
1995-05-01,3290
1995-06-01,3666
1995-07-01,3652
1995-08-01,3315
1995-09-01,2984
1995-10-01,2927
1995-11-01,3169
1995-12-01,2716
1996-01-01,2864
1996-02-01,2862
1996-03-01,3000
1996-04-01,3324
1996-05-01,3788
1996-06-01,3894
1996-07-01,3969
1996-08-01,3384
1996-09-01,2875
1996-10-01,3056
1996-11-01,3648
1996-12-01,3089
1997-01-01,3483
1997-02-01,3375
1997-03-01,3314
1997-04-01,3291
1997-05-01,3704
1997-06-01,4129
1997-07-01,3694
1997-08-01,3723
1997-09-01,3166
1997-10-01,3040
1997-11-01,3019
1997-12-01,2824
1998-01-01,2997
1998-02-01,3059
1998-03-01,3082
1998-04-01,2873
1998-05-01,3146
1998-06-01,3764
1998-07-01,3713
1998-08-01,3404
1998-09-01,2589
1998-10-01,2661
1998-11-01,2622
1998-12-01,2174
1999-01-01,2663
1999-02-01,2960
1999-03-01,2710
1999-04-01,2670
1999-05-01,2923
1999-06-01,3598
1999-07-01,3453
1999-08-01,3315
1999-09-01,3638
1999-10-01,3880
1999-11-01,3467
1999-12-01,2911
2000-01-01,2832
2000-02-01,2846
2000-03-01,2886
2000-04-01,2590
2000-05-01,2866
2000-06-01,3320
2000-07-01,3139
2000-08-01,3164
2000-09-01,2715
2000-10-01,2928
2000-11-01,3038
2000-12-01,2945
2001-01-01,3548
2001-02-01,3696
2001-03-01,3818
2001-04-01,3532
2001-05-01,3843
2001-06-01,4251
2001-07-01,4262
2001-08-01,4305
2001-09-01,3954
2001-10-01,4400
2001-11-01,4919
2001-12-01,4760
2002-01-01,5077
2002-02-01,4752
2002-03-01,4893
2002-04-01,4695
2002-05-01,4832
2002-06-01,5158
2002-07-01,5078
2002-08-01,4684
2002-09-01,4304
2002-10-01,4400
2002-11-01,4561
2002-12-01,4455
2003-01-01,4814
2003-02-01,4687
2003-03-01,4796
2003-04-01,4902
2003-05-01,5066
2003-06-01,5577
2003-07-01,5459
2003-08-01,5252
2003-09-01,4746
2003-10-01,4699
2003-11-01,4537
2003-12-01,4070
2004-01-01,4419
2004-02-01,4296
2004-03-01,4183
2004-04-01,4122
2004-05-01,4374
2004-06-01,4788
2004-07-01,4751
2004-08-01,4637
2004-09-01,4074
2004-10-01,4320
2004-11-01,4473
2004-12-01,4309
2005-01-01,4508
2005-02-01,4642
2005-03-01,4410
2005-04-01,4372
2005-05-01,4837
2005-06-01,5177
2005-07-01,5151
2005-08-01,4896
2005-09-01,4419
2005-10-01,4249
2005-11-01,4336
2005-12-01,3943
2006-01-01,4028
2006-02-01,4162
2006-03-01,4071
2006-04-01,3956
2006-05-01,4300
2006-06-01,4756
2006-07-01,5093
2006-08-01,4657
2006-09-01,4166
2006-10-01,4102
2006-11-01,4331
2006-12-01,4092
2007-01-01,4438
2007-02-01,4427
2007-03-01,4013
2007-04-01,4160
2007-05-01,4380
2007-06-01,4782
2007-07-01,4957
2007-08-01,4587
2007-09-01,4058
2007-10-01,4074
2007-11-01,4170
2007-12-01,4183
2008-01-01,4411
2008-02-01,4345
2008-03-01,4688
2008-04-01,4384
2008-05-01,5086
2008-06-01,5629
2008-07-01,5707
2008-08-01,5375
2008-09-01,4725
2008-10-01,4938
2008-11-01,6486
2008-12-01,7356
2009-01-01,8554
2009-02-01,8946
2009-03-01,9178
2009-04-01,8912
2009-05-01,9416
2009-06-01,9549
2009-07-01,9244
2009-08-01,8753
2009-09-01,8057
2009-10-01,7893
2009-11-01,7957
2009-12-01,8168
2010-01-01,8990
2010-02-01,8924
2010-03-01,9061
2010-04-01,8647
2010-05-01,8889
2010-06-01,9014
2010-07-01,8969
2010-08-01,8707
2010-09-01,8083
2010-10-01,8104
2010-11-01,8408
2010-12-01,8381
2011-01-01,9085
2011-02-01,8704
2011-03-01,8604
2011-04-01,8282
2011-05-01,8907
2011-06-01,9401
2011-07-01,9405
2011-08-01,9150
2011-09-01,8577
2011-10-01,8427
2011-11-01,8138
2011-12-01,8006
2012-01-01,8244
2012-02-01,8110
2012-03-01,7929
2012-04-01,7635
2012-05-01,8266
2012-06-01,8864
2012-07-01,9026
2012-08-01,8679
2012-09-01,7945
2012-10-01,8280
2012-11-01,8060
2012-12-01,8056
2013-01-01,8700
2013-02-01,8002
2013-03-01,7403
2013-04-01,6989
2013-05-01,7366
2013-06-01,7616
2013-07-01,7510
2013-08-01,6849
2013-09-01,5698
2013-10-01,5760
2013-11-01,5580
2013-12-01,5312
2014-01-01,5538
2014-02-01,5518
2014-03-01,5416
2014-04-01,4958
2014-05-01,5745
2014-06-01,5882
2014-07-01,6262
2014-08-01,6054
2014-09-01,5231
2014-10-01,5219
2014-11-01,5101
2014-12-01,4729
2015-01-01,5217
2015-02-01,4953
2015-03-01,4830
2015-04-01,4828
2015-05-01,5770
2015-06-01,5884
2015-07-01,5955
2015-08-01,5675
2015-09-01,5009
2015-10-01,5021
2015-11-01,4955
2015-12-01,4777
2016-01-01,4865
2016-02-01,4724
2016-03-01,4626
2016-04-01,4478
2016-05-01,4932
2016-06-01,5377
2016-07-01,5395
2016-08-01,5275
2016-09-01,4636
2016-10-01,5556
2016-11-01,4535
2016-12-01,4440
2017-01-01,4640
2017-02-01,4370
2017-03-01,4121
2017-04-01,3866
2017-05-01,4447
2017-06-01,4726
2017-07-01,4793
2017-08-01,4806
2017-09-01,3995
2017-10-01,3915
2017-11-01,4022
2017-12-01,3730
2018-01-01,3954
2018-02-01,3970
2018-03-01,3733
2018-04-01,3494
2018-05-01,3849
2018-06-01,4423
2018-07-01,4263
2018-08-01,4060
2018-09-01,3438
2018-10-01,3570
