"Date","LNS17600000"
1990-02-01,1573
1990-03-01,1604
1990-04-01,1510
1990-05-01,1496
1990-06-01,1381
1990-07-01,1566
1990-08-01,1658
1990-09-01,1559
1990-10-01,1613
1990-11-01,1668
1990-12-01,1692
1991-01-01,1698
1991-02-01,1718
1991-03-01,1774
1991-04-01,1705
1991-05-01,1789
1991-06-01,1834
1991-07-01,1648
1991-08-01,1773
1991-09-01,1906
1991-10-01,1855
1991-11-01,1849
1991-12-01,1884
1992-01-01,1951
1992-02-01,1698
1992-03-01,1959
1992-04-01,1921
1992-05-01,2067
1992-06-01,2050
1992-07-01,1972
1992-08-01,1867
1992-09-01,1931
1992-10-01,1848
1992-11-01,2010
1992-12-01,2022
1993-01-01,1849
1993-02-01,1896
1993-03-01,1822
1993-04-01,1920
1993-05-01,1869
1993-06-01,1768
1993-07-01,1816
1993-08-01,1801
1993-09-01,1803
1993-10-01,1905
1993-11-01,1815
1993-12-01,1884
1994-01-01,2076
1994-02-01,2029
1994-03-01,2117
1994-04-01,2051
1994-05-01,1937
1994-06-01,2111
1994-07-01,2056
1994-08-01,2099
1994-09-01,1930
1994-10-01,2007
1994-11-01,1858
1994-12-01,1907
1995-01-01,1892
1995-02-01,1851
1995-03-01,1731
1995-04-01,2144
1995-05-01,1849
1995-06-01,1864
1995-07-01,1976
1995-08-01,1898
1995-09-01,1923
1995-10-01,1907
1995-11-01,1940
1995-12-01,1947
1996-01-01,1890
1996-02-01,1939
1996-03-01,1944
1996-04-01,1935
1996-05-01,1950
1996-06-01,1766
1996-07-01,2061
1996-08-01,1689
1996-09-01,1896
1996-10-01,1867
1996-11-01,1890
1996-12-01,1922
1997-01-01,1841
1997-02-01,1810
1997-03-01,1855
1997-04-01,1753
1997-05-01,1764
1997-06-01,1781
1997-07-01,1788
1997-08-01,1836
1997-09-01,1741
1997-10-01,1622
1997-11-01,1649
1997-12-01,1747
1998-01-01,1641
1998-02-01,1723
1998-03-01,1780
1998-04-01,1557
1998-05-01,1627
1998-06-01,1704
1998-07-01,1654
1998-08-01,1621
1998-09-01,1737
1998-10-01,1703
1998-11-01,1691
1998-12-01,1624
1999-01-01,1679
1999-02-01,1691
1999-03-01,1581
1999-04-01,1603
1999-05-01,1489
1999-06-01,1606
1999-07-01,1647
1999-08-01,1552
1999-09-01,1696
1999-10-01,1525
1999-11-01,1688
1999-12-01,1643
2000-01-01,1628
2000-02-01,1628
2000-03-01,1541
2000-04-01,1533
2000-05-01,1619
2000-06-01,1610
2000-07-01,1499
2000-08-01,1596
2000-09-01,1471
2000-10-01,1498
2000-11-01,1596
2000-12-01,1487
2001-01-01,1660
2001-02-01,1573
2001-03-01,1626
2001-04-01,1672
2001-05-01,1618
2001-06-01,1689
2001-07-01,1661
2001-08-01,1861
2001-09-01,1856
2001-10-01,1989
2001-11-01,1917
2001-12-01,2036
2002-01-01,1687
2002-02-01,2013
2002-03-01,2029
2002-04-01,1992
2002-05-01,1927
2002-06-01,1774
2002-07-01,2028
2002-08-01,1852
2002-09-01,1948
2002-10-01,1842
2002-11-01,1890
2002-12-01,1951
2003-01-01,1958
2003-02-01,1964
2003-03-01,1999
2003-04-01,2124
2003-05-01,2048
2003-06-01,2273
2003-07-01,1972
2003-08-01,1973
2003-09-01,2040
2003-10-01,2121
2003-11-01,1959
2003-12-01,1936
2004-01-01,2049
2004-02-01,1910
2004-03-01,2237
2004-04-01,1897
2004-05-01,2034
2004-06-01,2088
2004-07-01,1991
2004-08-01,1946
2004-09-01,2025
2004-10-01,2085
2004-11-01,1992
2004-12-01,2015
2005-01-01,1776
2005-02-01,2030
2005-03-01,1929
2005-04-01,1983
2005-05-01,1964
2005-06-01,1827
2005-07-01,1841
2005-08-01,1986
2005-09-01,1950
2005-10-01,1895
2005-11-01,2153
2005-12-01,1928
2006-01-01,1997
2006-02-01,1903
2006-03-01,1833
2006-04-01,1866
