"Date","LNU03049586"
2006-05-01,102
2006-06-01,111
2006-07-01,143
2006-08-01,120
2006-09-01,128
2006-10-01,146
2006-11-01,127
2006-12-01,164
2007-01-01,159
2007-02-01,133
2007-03-01,153
2007-04-01,162
2007-05-01,114
2007-06-01,106
2007-07-01,141
2007-08-01,111
2007-09-01,114
2007-10-01,154
2007-11-01,144
2007-12-01,159
2008-01-01,164
2008-02-01,179
2008-03-01,166
2008-04-01,137
2008-05-01,134
2008-06-01,131
2008-07-01,144
2008-08-01,140
2008-09-01,161
2008-10-01,194
2008-11-01,208
2008-12-01,262
2009-01-01,302
2009-02-01,348
2009-03-01,331
2009-04-01,309
2009-05-01,290
2009-06-01,275
2009-07-01,271
2009-08-01,245
2009-09-01,265
2009-10-01,292
2009-11-01,319
2009-12-01,304
2010-01-01,304
2010-02-01,353
2010-03-01,354
2010-04-01,335
2010-05-01,283
2010-06-01,275
2010-07-01,268
2010-08-01,286
2010-09-01,242
2010-10-01,239
2010-11-01,262
2010-12-01,281
2011-01-01,301
2011-02-01,299
2011-03-01,285
2011-04-01,273
2011-05-01,278
2011-06-01,290
2011-07-01,260
2011-08-01,258
2011-09-01,266
2011-10-01,232
2011-11-01,257
2011-12-01,255
2012-01-01,244
2012-02-01,258
2012-03-01,224
2012-04-01,240
2012-05-01,223
2012-06-01,219
2012-07-01,211
2012-08-01,182
2012-09-01,202
2012-10-01,188
2012-11-01,199
2012-12-01,208
2013-01-01,198
2013-02-01,172
2013-03-01,168
2013-04-01,146
2013-05-01,214
2013-06-01,213
2013-07-01,200
2013-08-01,158
2013-09-01,166
2013-10-01,159
2013-11-01,164
2013-12-01,135
2014-01-01,134
2014-02-01,149
2014-03-01,177
2014-04-01,177
2014-05-01,128
2014-06-01,142
2014-07-01,149
2014-08-01,127
2014-09-01,148
2014-10-01,120
2014-11-01,141
2014-12-01,123
2015-01-01,114
2015-02-01,154
2015-03-01,133
2015-04-01,124
2015-05-01,124
2015-06-01,93
2015-07-01,108
2015-08-01,113
2015-09-01,119
2015-10-01,111
2015-11-01,101
2015-12-01,130
2016-01-01,131
2016-02-01,106
2016-03-01,110
2016-04-01,104
2016-05-01,107
2016-06-01,103
2016-07-01,102
2016-08-01,100
2016-09-01,136
2016-10-01,117
2016-11-01,119
2016-12-01,83
2017-01-01,85
2017-02-01,82
2017-03-01,69
2017-04-01,80
2017-05-01,61
2017-06-01,78
2017-07-01,49
2017-08-01,76
2017-09-01,63
2017-10-01,60
2017-11-01,89
2017-12-01,107
2018-01-01,85
2018-02-01,103
2018-03-01,88
2018-04-01,93
2018-05-01,73
2018-06-01,59
2018-07-01,47
2018-08-01,81
2018-09-01,58
2018-10-01,50
2018-11-01,76
2018-12-01,62
2019-01-01,77
2019-02-01,65
2019-03-01,78
2019-04-01,67
2019-05-01,66
2019-06-01,60
2019-07-01,59
2019-08-01,63
2019-09-01,33
2019-10-01,39
2019-11-01,47
2019-12-01,51
2020-01-01,73
2020-02-01,61
2020-03-01,97
2020-04-01,216
2020-05-01,178
2020-06-01,164
2020-07-01,147
2020-08-01,129
2020-09-01,114
2020-10-01,107
2020-11-01,126
2020-12-01,129
2021-01-01,125
2021-02-01,140
2021-03-01,68
2021-04-01,118
2021-05-01,101
2021-06-01,99
2021-07-01,65
2021-08-01,74
2021-09-01,71
2021-10-01,57
2021-11-01,63
2021-12-01,46
2022-01-01,64
2022-02-01,61
2022-03-01,35
2022-04-01,52
2022-05-01,32
2022-06-01,46
2022-07-01,40
2022-08-01,44
2022-09-01,37
2022-10-01,38
2022-11-01,34
2022-12-01,58
2023-01-01,50
2023-02-01,49
2023-03-01,27
2023-04-01,24
2023-05-01,40
2023-06-01,53
2023-07-01,35
2023-08-01,62
2023-09-01,32
2023-10-01,22
2023-11-01,45
