"Date","NETHOM1LFN"
1990-01-01,351
1990-02-01,359
1990-03-01,372
1990-04-01,429
1990-05-01,429
1990-06-01,510
1990-07-01,413
1990-08-01,406
1990-09-01,378
1990-10-01,401
1990-11-01,443
1990-12-01,382
1991-01-01,401
1991-02-01,398
1991-03-01,446
1991-04-01,448
1991-05-01,420
1991-06-01,528
1991-07-01,451
1991-08-01,425
1991-09-01,384
1991-10-01,403
1991-11-01,380
1991-12-01,395
1992-01-01,396
1992-02-01,364
1992-03-01,425
1992-04-01,400
1992-05-01,393
1992-06-01,427
1992-07-01,432
1992-08-01,429
1992-09-01,389
1992-10-01,400
1992-11-01,459
1992-12-01,368
1993-01-01,382
1993-02-01,392
1993-03-01,392
1993-04-01,492
1993-05-01,442
1993-06-01,434
1993-07-01,426
1993-08-01,434
1993-09-01,393
1993-10-01,402
1993-11-01,434
1993-12-01,378
1994-01-01,390
1994-02-01,409
1994-03-01,445
1994-04-01,478
1994-05-01,422
1994-06-01,521
1994-07-01,413
1994-08-01,409
1994-09-01,388
1994-10-01,405
1994-11-01,444
1994-12-01,422
1995-01-01,410
1995-02-01,418
1995-03-01,449
1995-04-01,526
1995-05-01,489
1995-06-01,508
1995-07-01,482
1995-08-01,490
1995-09-01,437
1995-10-01,471
1995-11-01,525
1995-12-01,450
1996-01-01,470
1996-02-01,463
1996-03-01,491
1996-04-01,545
1996-05-01,500
1996-06-01,500
1996-07-01,495
1996-08-01,511
1996-09-01,466
1996-10-01,469
1996-11-01,465
1996-12-01,415
1997-01-01,435
1997-02-01,425
1997-03-01,409
1997-04-01,510
1997-05-01,477
1997-06-01,511
1997-07-01,482
1997-08-01,478
1997-09-01,443
1997-10-01,446
1997-11-01,450
1997-12-01,433
1998-01-01,462
1998-02-01,450
1998-03-01,457
1998-04-01,480
1998-05-01,488
1998-06-01,508
1998-07-01,439
1998-08-01,461
1998-09-01,438
1998-10-01,443
1998-11-01,444
1998-12-01,452
1999-01-01,453
1999-02-01,434
1999-03-01,412
1999-04-01,461
1999-05-01,492
1999-06-01,507
1999-07-01,535
1999-08-01,532
1999-09-01,473
1999-10-01,482
1999-11-01,500
1999-12-01,489
2000-01-01,414
2000-02-01,434
2000-03-01,419
2000-04-01,419
2000-05-01,428
2000-06-01,425
2000-07-01,415
2000-08-01,408
2000-09-01,385
2000-10-01,406
2000-11-01,402
2000-12-01,406
2001-01-01,426
2001-02-01,426
2001-03-01,421
2001-04-01,436
2001-05-01,410
2001-06-01,408
2001-07-01,387
2001-08-01,361
2001-09-01,364
2001-10-01,421
2001-11-01,398
2001-12-01,399
