"Date","OHPUTN7LFN"
1990-01-01,17524
1990-02-01,16953
1990-03-01,17019
1990-04-01,17231
1990-05-01,17483
1990-06-01,18014
1990-07-01,17842
1990-08-01,17681
1990-09-01,17184
1990-10-01,16934
1990-11-01,16770
1990-12-01,16796
1991-01-01,16785
1991-02-01,16963
1991-03-01,17235
1991-04-01,16990
1991-05-01,16959
1991-06-01,17490
1991-07-01,17745
1991-08-01,17203
1991-09-01,17019
1991-10-01,16972
1991-11-01,16882
1991-12-01,16928
1992-01-01,17136
1992-02-01,17362
1992-03-01,17300
1992-04-01,17188
1992-05-01,17606
1992-06-01,18345
1992-07-01,18693
1992-08-01,18158
1992-09-01,17491
1992-10-01,17461
1992-11-01,17227
1992-12-01,17304
1993-01-01,17811
1993-02-01,17794
1993-03-01,18128
1993-04-01,18442
1993-05-01,18528
1993-06-01,19145
1993-07-01,19612
1993-08-01,18975
1993-09-01,18469
1993-10-01,18252
1993-11-01,18234
1993-12-01,18238
1994-01-01,18258
1994-02-01,18396
1994-03-01,18479
1994-04-01,18605
1994-05-01,18763
1994-06-01,19241
1994-07-01,19588
1994-08-01,19049
1994-09-01,18885
1994-10-01,18789
1994-11-01,18982
1994-12-01,18857
1995-01-01,18856
1995-02-01,18823
1995-03-01,19101
1995-04-01,18967
1995-05-01,19275
1995-06-01,19870
1995-07-01,20589
1995-08-01,20391
1995-09-01,20292
1995-10-01,20305
1995-11-01,20176
1995-12-01,19767
1996-01-01,19253
1996-02-01,19473
1996-03-01,19445
1996-04-01,19609
1996-05-01,20027
1996-06-01,20953
1996-07-01,20682
1996-08-01,20711
1996-09-01,20027
1996-10-01,19937
1996-11-01,19868
1996-12-01,19682
1997-01-01,19588
1997-02-01,19486
1997-03-01,19900
1997-04-01,20722
1997-05-01,20635
1997-06-01,21196
1997-07-01,20850
1997-08-01,20669
1997-09-01,20441
1997-10-01,20437
1997-11-01,20511
1997-12-01,20402
1998-01-01,19977
1998-02-01,19904
1998-03-01,20027
1998-04-01,20072
1998-05-01,20356
1998-06-01,21025
1998-07-01,21729
1998-08-01,21034
1998-09-01,20602
1998-10-01,20178
1998-11-01,20625
1998-12-01,20639
1999-01-01,19795
1999-02-01,20060
1999-03-01,20434
1999-04-01,20415
1999-05-01,20627
1999-06-01,20987
1999-07-01,20979
1999-08-01,21222
1999-09-01,20801
1999-10-01,20587
1999-11-01,20595
1999-12-01,20438
2000-01-01,17893
2000-02-01,17891
2000-03-01,17951
2000-04-01,18107
2000-05-01,18314
2000-06-01,18749
2000-07-01,18691
2000-08-01,18582
2000-09-01,18314
2000-10-01,18196
2000-11-01,18082
2000-12-01,18118
2001-01-01,17448
2001-02-01,17497
2001-03-01,17777
2001-04-01,17828
2001-05-01,17947
2001-06-01,18327
2001-07-01,18386
2001-08-01,18405
2001-09-01,18181
2001-10-01,18002
2001-11-01,17745
2001-12-01,17716
2002-01-01,17586
2002-02-01,17766
2002-03-01,17844
2002-04-01,17755
2002-05-01,17925
2002-06-01,18206
2002-07-01,18204
2002-08-01,18130
2002-09-01,17874
2002-10-01,18066
2002-11-01,17734
2002-12-01,17841
2003-01-01,17977
2003-02-01,17753
2003-03-01,17926
2003-04-01,17897
2003-05-01,17918
2003-06-01,18362
2003-07-01,18317
2003-08-01,18130
2003-09-01,17656
2003-10-01,18071
2003-11-01,17903
2003-12-01,17826
2004-01-01,17282
2004-02-01,17319
2004-03-01,17407
2004-04-01,17400
2004-05-01,17481
2004-06-01,17839
2004-07-01,17938
2004-08-01,17815
2004-09-01,17552
2004-10-01,17640
2004-11-01,17443
2004-12-01,17348
2005-01-01,17167
2005-02-01,17357
2005-03-01,17467
2005-04-01,17764
2005-05-01,17728
2005-06-01,17985
2005-07-01,17977
2005-08-01,17927
2005-09-01,17787
2005-10-01,17813
2005-11-01,17737
2005-12-01,17556
2006-01-01,17369
2006-02-01,17407
2006-03-01,17655
2006-04-01,17812
2006-05-01,17925
2006-06-01,18484
2006-07-01,18589
2006-08-01,18328
2006-09-01,18077
2006-10-01,18049
2006-11-01,17989
2006-12-01,18098
2007-01-01,17988
2007-02-01,17824
2007-03-01,18022
2007-04-01,18078
2007-05-01,18412
2007-06-01,18811
2007-07-01,18913
2007-08-01,18708
2007-09-01,18497
2007-10-01,18463
2007-11-01,18620
2007-12-01,18655
2008-01-01,18391
2008-02-01,18371
2008-03-01,18341
2008-04-01,18303
2008-05-01,18617
2008-06-01,19072
2008-07-01,19052
2008-08-01,19064
2008-09-01,18685
2008-10-01,18612
2008-11-01,18446
