"Date","SDLAKE9LFN"
1990-01-01,5477
1990-02-01,5544
1990-03-01,5517
1990-04-01,5564
1990-05-01,5681
1990-06-01,5466
1990-07-01,5499
1990-08-01,5503
1990-09-01,5546
1990-10-01,5609
1990-11-01,5567
1990-12-01,5421
1991-01-01,5360
1991-02-01,5334
1991-03-01,5441
1991-04-01,5609
1991-05-01,5630
1991-06-01,5583
1991-07-01,5656
1991-08-01,5682
1991-09-01,5687
1991-10-01,5779
1991-11-01,5750
1991-12-01,5556
1992-01-01,5493
1992-02-01,5464
1992-03-01,5529
1992-04-01,5687
1992-05-01,5724
1992-06-01,5586
1992-07-01,5729
1992-08-01,5667
1992-09-01,5480
1992-10-01,5647
1992-11-01,5677
1992-12-01,5489
1993-01-01,5371
1993-02-01,5443
1993-03-01,5505
1993-04-01,5648
1993-05-01,5763
1993-06-01,5650
1993-07-01,5646
1993-08-01,5572
1993-09-01,5652
1993-10-01,5755
1993-11-01,5687
1993-12-01,5618
1994-01-01,5754
1994-02-01,5773
1994-03-01,5784
1994-04-01,6038
1994-05-01,6035
1994-06-01,5695
1994-07-01,5662
1994-08-01,5601
1994-09-01,5655
1994-10-01,5816
1994-11-01,5826
1994-12-01,5628
1995-01-01,5739
1995-02-01,5826
1995-03-01,5843
1995-04-01,5969
1995-05-01,5963
1995-06-01,5884
1995-07-01,5972
1995-08-01,5950
1995-09-01,5957
1995-10-01,6176
1995-11-01,6170
1995-12-01,5978
1996-01-01,5834
1996-02-01,5922
1996-03-01,6062
1996-04-01,6090
1996-05-01,6195
1996-06-01,6123
1996-07-01,5925
1996-08-01,5961
1996-09-01,5997
1996-10-01,6317
1996-11-01,6234
1996-12-01,6018
1997-01-01,5834
1997-02-01,5847
1997-03-01,5877
1997-04-01,6004
1997-05-01,6044
1997-06-01,6069
1997-07-01,5985
1997-08-01,6087
1997-09-01,6058
1997-10-01,6304
1997-11-01,6351
1997-12-01,6384
1998-01-01,6054
1998-02-01,6102
1998-03-01,6083
1998-04-01,6076
1998-05-01,6192
1998-06-01,6180
1998-07-01,6288
1998-08-01,6205
1998-09-01,6191
1998-10-01,6389
1998-11-01,6380
1998-12-01,6349
1999-01-01,6102
1999-02-01,6152
1999-03-01,6114
1999-04-01,6062
1999-05-01,6258
1999-06-01,6266
1999-07-01,6149
1999-08-01,6169
1999-09-01,6082
1999-10-01,6279
1999-11-01,6255
1999-12-01,6035
2000-01-01,6363
2000-02-01,6403
2000-03-01,6400
2000-04-01,6482
2000-05-01,6518
2000-06-01,6516
2000-07-01,6483
2000-08-01,6560
2000-09-01,6574
2000-10-01,6834
2000-11-01,6831
2000-12-01,6594
2001-01-01,6445
2001-02-01,6529
2001-03-01,6609
2001-04-01,6645
2001-05-01,6752
2001-06-01,6756
2001-07-01,6736
2001-08-01,6691
2001-09-01,6671
2001-10-01,6864
2001-11-01,6816
2001-12-01,6645
2002-01-01,6624
2002-02-01,6755
2002-03-01,6813
2002-04-01,6876
2002-05-01,6821
2002-06-01,6735
2002-07-01,6603
2002-08-01,6573
2002-09-01,6683
2002-10-01,6863
2002-11-01,6823
2002-12-01,6708
2003-01-01,6565
2003-02-01,6682
2003-03-01,6703
2003-04-01,6797
2003-05-01,6833
2003-06-01,6639
2003-07-01,6609
2003-08-01,6429
2003-09-01,6435
2003-10-01,6548
2003-11-01,6585
2003-12-01,6575
2004-01-01,6524
2004-02-01,6594
2004-03-01,6710
2004-04-01,6708
2004-05-01,6751
2004-06-01,6594
2004-07-01,6546
2004-08-01,6494
2004-09-01,6543
2004-10-01,6683
2004-11-01,6693
2004-12-01,6613
2005-01-01,6565
2005-02-01,6652
2005-03-01,6673
2005-04-01,6786
2005-05-01,6773
2005-06-01,6673
2005-07-01,6582
2005-08-01,6567
2005-09-01,6639
2005-10-01,6742
2005-11-01,6719
2005-12-01,6670
2006-01-01,6544
2006-02-01,6678
2006-03-01,6703
2006-04-01,6768
2006-05-01,6830
2006-06-01,6620
2006-07-01,6627
2006-08-01,6588
2006-09-01,6752
2006-10-01,6813
2006-11-01,6751
2006-12-01,6644
2007-01-01,6661
2007-02-01,6800
2007-03-01,6832
2007-04-01,6940
2007-05-01,6927
2007-06-01,6736
2007-07-01,6681
2007-08-01,6659
2007-09-01,6844
2007-10-01,6879
2007-11-01,6841
2007-12-01,6713
2008-01-01,6633
2008-02-01,6691
2008-03-01,6748
2008-04-01,6855
2008-05-01,6795
2008-06-01,6588
2008-07-01,6583
2008-08-01,6561
2008-09-01,6659
2008-10-01,6837
2008-11-01,6791
2008-12-01,6684
2009-01-01,6644
2009-02-01,6641
2009-03-01,6689
2009-04-01,6843
2009-05-01,6823
2009-06-01,6632
2009-07-01,6564
2009-08-01,6531
2009-09-01,6614
2009-10-01,6733
2009-11-01,6615
2009-12-01,6574
2010-01-01,6078
2010-02-01,6171
2010-03-01,6162
2010-04-01,6247
2010-05-01,6220
2010-06-01,6114
2010-07-01,6164
2010-08-01,6099
2010-09-01,6231
2010-10-01,6261
2010-11-01,6295
2010-12-01,6230
2011-01-01,6158
2011-02-01,6268
2011-03-01,6309
2011-04-01,6301
2011-05-01,6328
2011-06-01,6166
2011-07-01,6178
2011-08-01,6103
2011-09-01,6254
2011-10-01,6369
2011-11-01,6345
2011-12-01,6280
2012-01-01,6184
2012-02-01,6329
2012-03-01,6359
2012-04-01,6396
2012-05-01,6424
2012-06-01,6288
2012-07-01,6271
2012-08-01,6172
2012-09-01,6358
2012-10-01,6391
2012-11-01,6436
2012-12-01,6336
2013-01-01,6288
2013-02-01,6392
2013-03-01,6387
2013-04-01,6430
2013-05-01,6471
2013-06-01,6388
2013-07-01,6343
2013-08-01,6210
2013-09-01,6323
2013-10-01,6346
2013-11-01,6377
2013-12-01,6314
2014-01-01,6235
2014-02-01,6372
2014-03-01,6415
2014-04-01,6397
2014-05-01,6411
2014-06-01,6327
2014-07-01,6279
2014-08-01,6204
2014-09-01,6346
2014-10-01,6539
2014-11-01,6477
2014-12-01,6452
2015-01-01,6527
2015-02-01,6625
2015-03-01,6635
2015-04-01,6669
2015-05-01,6666
2015-06-01,6535
2015-07-01,6516
2015-08-01,6414
2015-09-01,6442
2015-10-01,6554
2015-11-01,6548
2015-12-01,6481
2016-01-01,6396
2016-02-01,6518
2016-03-01,6536
2016-04-01,6517
2016-05-01,6616
2016-06-01,6483
2016-07-01,6408
2016-08-01,6359
2016-09-01,6468
2016-10-01,6556
2016-11-01,6554
2016-12-01,6470
2017-01-01,6311
2017-02-01,6483
2017-03-01,6508
2017-04-01,6593
2017-05-01,6529
2017-06-01,6441
2017-07-01,6434
2017-08-01,6388
2017-09-01,6523
2017-10-01,6585
2017-11-01,6588
2017-12-01,6494
2018-01-01,6454
2018-02-01,6699
2018-03-01,6711
2018-04-01,6793
2018-05-01,6739
2018-06-01,6631
2018-07-01,6606
2018-08-01,6508
2018-09-01,6619
2018-10-01,6690
2018-11-01,6665
2018-12-01,6589
2019-01-01,6497
2019-02-01,6692
2019-03-01,6694
2019-04-01,6749
2019-05-01,6734
2019-06-01,6640
2019-07-01,6620
2019-08-01,6518
2019-09-01,6657
2019-10-01,6681
2019-11-01,6667
2019-12-01,6603
2020-01-01,6417
2020-02-01,6597
2020-03-01,6552
2020-04-01,6413
2020-05-01,6449
2020-06-01,6469
2020-07-01,6422
2020-08-01,6422
2020-09-01,6444
2020-10-01,6499
2020-11-01,6481
2020-12-01,6434
2021-01-01,6414
2021-02-01,6464
2021-03-01,6517
2021-04-01,6629
2021-05-01,6620
2021-06-01,6646
2021-07-01,6607
2021-08-01,6495
2021-09-01,6583
2021-10-01,6634
2021-11-01,6631
2021-12-01,6513
2022-01-01,6510
2022-02-01,6625
2022-03-01,6621
2022-04-01,6709
2022-05-01,6728
2022-06-01,6750
2022-07-01,6708
2022-08-01,6740
2022-09-01,6789
2022-10-01,6843
2022-11-01,6802
2022-12-01,6727
2023-01-01,6651
2023-02-01,6773
2023-03-01,6830
2023-04-01,6946
2023-05-01,6982
2023-06-01,6799
2023-07-01,6766
2023-08-01,6769
2023-09-01,6843
2023-10-01,6896
