"Date","TNDEKA1LFN"
1990-01-01,6961
1990-02-01,6974
1990-03-01,7083
1990-04-01,7090
1990-05-01,7350
1990-06-01,7439
1990-07-01,7427
1990-08-01,7435
1990-09-01,7492
1990-10-01,7588
1990-11-01,7551
1990-12-01,7459
1991-01-01,7366
1991-02-01,7457
1991-03-01,7401
1991-04-01,7457
1991-05-01,7648
1991-06-01,7766
1991-07-01,7796
1991-08-01,7772
1991-09-01,7711
1991-10-01,7706
1991-11-01,7673
1991-12-01,7533
1992-01-01,7747
1992-02-01,7451
1992-03-01,7550
1992-04-01,7480
1992-05-01,7545
1992-06-01,7834
1992-07-01,7839
1992-08-01,7801
1992-09-01,7556
1992-10-01,7589
1992-11-01,7683
1992-12-01,7604
1993-01-01,7650
1993-02-01,7714
1993-03-01,7658
1993-04-01,7527
1993-05-01,7741
1993-06-01,7812
1993-07-01,7874
1993-08-01,7765
1993-09-01,7624
1993-10-01,7607
1993-11-01,7591
1993-12-01,7657
1994-01-01,7922
1994-02-01,7932
1994-03-01,7965
1994-04-01,8139
1994-05-01,8167
1994-06-01,8404
1994-07-01,8592
1994-08-01,8632
1994-09-01,8449
1994-10-01,8447
1994-11-01,8694
1994-12-01,8455
1995-01-01,8448
1995-02-01,8365
1995-03-01,8346
1995-04-01,8393
1995-05-01,8441
1995-06-01,8483
1995-07-01,8716
1995-08-01,8768
1995-09-01,8823
1995-10-01,8612
1995-11-01,8575
1995-12-01,8416
1996-01-01,8546
1996-02-01,8478
1996-03-01,8496
1996-04-01,8421
1996-05-01,8738
1996-06-01,8701
1996-07-01,8555
1996-08-01,9068
1996-09-01,8816
1996-10-01,8808
1996-11-01,8792
1996-12-01,8616
1997-01-01,8719
1997-02-01,8511
1997-03-01,8703
1997-04-01,9101
1997-05-01,9086
1997-06-01,9223
1997-07-01,9093
1997-08-01,9142
1997-09-01,9029
1997-10-01,8880
1997-11-01,8784
1997-12-01,8594
1998-01-01,8242
1998-02-01,8148
1998-03-01,8183
1998-04-01,8225
1998-05-01,8233
1998-06-01,8687
1998-07-01,8498
1998-08-01,8478
1998-09-01,8421
1998-10-01,8116
1998-11-01,8116
1998-12-01,7895
1999-01-01,7942
1999-02-01,7976
1999-03-01,8062
1999-04-01,8250
1999-05-01,8412
1999-06-01,8464
1999-07-01,8381
1999-08-01,8292
1999-09-01,8193
1999-10-01,8020
1999-11-01,7891
1999-12-01,7989
2000-01-01,8511
2000-02-01,8534
2000-03-01,8737
2000-04-01,8590
2000-05-01,8645
2000-06-01,8727
2000-07-01,8632
