"Date","TXDALL3LFN"
1990-01-01,1051516
1990-02-01,1056287
1990-03-01,1058703
1990-04-01,1060071
1990-05-01,1066785
1990-06-01,1081677
1990-07-01,1088250
1990-08-01,1082530
1990-09-01,1078833
1990-10-01,1078431
1990-11-01,1081662
1990-12-01,1080830
1991-01-01,1055230
1991-02-01,1058196
1991-03-01,1064211
1991-04-01,1070707
1991-05-01,1073577
1991-06-01,1093262
1991-07-01,1104308
1991-08-01,1090002
1991-09-01,1089567
1991-10-01,1091591
1991-11-01,1091503
1991-12-01,1090209
1992-01-01,1077321
1992-02-01,1081418
1992-03-01,1086970
1992-04-01,1088014
1992-05-01,1092893
1992-06-01,1111099
1992-07-01,1113745
1992-08-01,1105349
1992-09-01,1097396
1992-10-01,1096743
1992-11-01,1101102
1992-12-01,1098607
1993-01-01,1076123
1993-02-01,1082116
1993-03-01,1083638
1993-04-01,1082839
1993-05-01,1088821
1993-06-01,1111070
1993-07-01,1118980
1993-08-01,1116814
1993-09-01,1104783
1993-10-01,1110573
1993-11-01,1117074
1993-12-01,1114853
1994-01-01,1101154
1994-02-01,1103683
1994-03-01,1103898
1994-04-01,1106410
1994-05-01,1110242
1994-06-01,1127257
1994-07-01,1137023
1994-08-01,1134237
1994-09-01,1125624
1994-10-01,1130855
1994-11-01,1133634
1994-12-01,1131913
1995-01-01,1115388
1995-02-01,1118849
1995-03-01,1123231
1995-04-01,1125493
1995-05-01,1124145
1995-06-01,1143510
1995-07-01,1153180
1995-08-01,1149389
1995-09-01,1144116
1995-10-01,1148390
1995-11-01,1147199
1995-12-01,1145612
1996-01-01,1127919
1996-02-01,1129669
1996-03-01,1133473
1996-04-01,1134834
1996-05-01,1139658
1996-06-01,1156173
1996-07-01,1168976
1996-08-01,1161117
1996-09-01,1161105
1996-10-01,1170808
1996-11-01,1173736
1996-12-01,1174236
1997-01-01,1156808
1997-02-01,1159862
1997-03-01,1166490
1997-04-01,1167205
1997-05-01,1174040
1997-06-01,1190650
1997-07-01,1199008
1997-08-01,1196739
1997-09-01,1191388
1997-10-01,1193924
1997-11-01,1200330
1997-12-01,1200475
1998-01-01,1168073
1998-02-01,1172430
1998-03-01,1177196
1998-04-01,1180791
1998-05-01,1186995
1998-06-01,1202281
1998-07-01,1209328
1998-08-01,1206745
1998-09-01,1206949
1998-10-01,1211832
1998-11-01,1214426
1998-12-01,1216269
1999-01-01,1192002
1999-02-01,1193071
1999-03-01,1196426
1999-04-01,1201414
1999-05-01,1204137
1999-06-01,1214291
1999-07-01,1223611
1999-08-01,1217925
1999-09-01,1213703
1999-10-01,1225222
1999-11-01,1225465
1999-12-01,1226413
2000-01-01,1176087
2000-02-01,1177427
2000-03-01,1175908
2000-04-01,1183726
2000-05-01,1181011
2000-06-01,1195830
2000-07-01,1193736
2000-08-01,1192790
2000-09-01,1192355
2000-10-01,1198437
2000-11-01,1198461
2000-12-01,1202169
2001-01-01,1186247
2001-02-01,1185522
2001-03-01,1188164
2001-04-01,1191878
2001-05-01,1188017
2001-06-01,1199166
2001-07-01,1202087
2001-08-01,1194114
2001-09-01,1195632
2001-10-01,1195586
2001-11-01,1197201
2001-12-01,1197229
2002-01-01,1172630
2002-02-01,1180868
2002-03-01,1175987
2002-04-01,1177350
2002-05-01,1176142
2002-06-01,1184893
2002-07-01,1184867
2002-08-01,1184996
2002-09-01,1183153
2002-10-01,1183054
2002-11-01,1179943
2002-12-01,1179857
2003-01-01,1154139
2003-02-01,1155541
2003-03-01,1150914
2003-04-01,1156077
2003-05-01,1154989
2003-06-01,1169934
2003-07-01,1165939
2003-08-01,1158049
2003-09-01,1154005
2003-10-01,1158476
2003-11-01,1159774
2003-12-01,1159847
2004-01-01,1138781
2004-02-01,1135856
2004-03-01,1137563
2004-04-01,1140709
2004-05-01,1141127
2004-06-01,1146745
2004-07-01,1156713
2004-08-01,1147590
2004-09-01,1147527
2004-10-01,1157022
2004-11-01,1162035
2004-12-01,1163810
2005-01-01,1130997
2005-02-01,1135566
2005-03-01,1130138
2005-04-01,1139576
2005-05-01,1140169
2005-06-01,1143654
2005-07-01,1156170
2005-08-01,1156614
2005-09-01,1154208
2005-10-01,1160221
2005-11-01,1165172
2005-12-01,1157275
2006-01-01,1131506
2006-02-01,1134191
2006-03-01,1133511
2006-04-01,1141123
2006-05-01,1143833
2006-06-01,1152876
2006-07-01,1160805
2006-08-01,1156770
2006-09-01,1150525
2006-10-01,1151710
2006-11-01,1158505
2006-12-01,1154232
2007-01-01,1130853
2007-02-01,1128061
2007-03-01,1128343
2007-04-01,1130064
2007-05-01,1130184
2007-06-01,1140091
2007-07-01,1144246
2007-08-01,1141359
2007-09-01,1144211
2007-10-01,1139566
2007-11-01,1151606
2007-12-01,1149756
2008-01-01,1134277
2008-02-01,1133831
2008-03-01,1133342
2008-04-01,1134241
2008-05-01,1138694
2008-06-01,1144089
2008-07-01,1151386
2008-08-01,1149867
2008-09-01,1145179
2008-10-01,1146313
2008-11-01,1148039
2008-12-01,1145160
2009-01-01,1127416
2009-02-01,1127371
2009-03-01,1125602
2009-04-01,1129824
2009-05-01,1139808
2009-06-01,1153766
2009-07-01,1164735
2009-08-01,1159340
2009-09-01,1157451
2009-10-01,1157581
2009-11-01,1159184
2009-12-01,1154363
2010-01-01,1176463
2010-02-01,1179437
2010-03-01,1181837
2010-04-01,1194860
2010-05-01,1192861
2010-06-01,1194632
2010-07-01,1202674
2010-08-01,1204205
2010-09-01,1202815
2010-10-01,1202294
2010-11-01,1209268
2010-12-01,1206846
2011-01-01,1196862
2011-02-01,1200448
2011-03-01,1203363
2011-04-01,1206762
2011-05-01,1208590
2011-06-01,1213063
2011-07-01,1217846
2011-08-01,1217112
2011-09-01,1221041
2011-10-01,1221466
2011-11-01,1220518
2011-12-01,1216211
2012-01-01,1208849
2012-02-01,1215607
2012-03-01,1213238
2012-04-01,1214197
2012-05-01,1218919
2012-06-01,1224548
2012-07-01,1225342
2012-08-01,1220118
2012-09-01,1223165
2012-10-01,1226595
2012-11-01,1226739
2012-12-01,1226412
2013-01-01,1217809
2013-02-01,1218935
2013-03-01,1218088
2013-04-01,1224001
2013-05-01,1228053
2013-06-01,1235731
2013-07-01,1239571
2013-08-01,1239086
2013-09-01,1242181
2013-10-01,1236193
2013-11-01,1247696
2013-12-01,1242795
2014-01-01,1233458
2014-02-01,1238194
2014-03-01,1241062
2014-04-01,1241245
2014-05-01,1243718
2014-06-01,1250257
2014-07-01,1257205
2014-08-01,1255940
2014-09-01,1254952
2014-10-01,1257190
2014-11-01,1262056
2014-12-01,1256036
2015-01-01,1247270
2015-02-01,1247677
2015-03-01,1244318
2015-04-01,1254913
2015-05-01,1258594
2015-06-01,1263661
2015-07-01,1270201
2015-08-01,1269585
2015-09-01,1267101
2015-10-01,1273667
2015-11-01,1281470
2015-12-01,1281312
2016-01-01,1273227
2016-02-01,1283724
2016-03-01,1284623
