"Date","TXLUBB3LFN"
1990-01-01,110805
1990-02-01,111271
1990-03-01,112089
1990-04-01,113047
1990-05-01,113282
1990-06-01,114131
1990-07-01,115546
1990-08-01,115400
1990-09-01,114219
1990-10-01,114062
1990-11-01,114637
1990-12-01,114013
1991-01-01,111346
1991-02-01,111943
1991-03-01,112120
1991-04-01,112952
1991-05-01,112381
1991-06-01,113100
1991-07-01,114370
1991-08-01,113592
1991-09-01,112675
1991-10-01,113931
1991-11-01,114972
1991-12-01,114783
1992-01-01,113572
1992-02-01,113872
1992-03-01,114220
1992-04-01,114150
1992-05-01,113646
1992-06-01,116423
1992-07-01,118149
1992-08-01,118015
1992-09-01,116385
1992-10-01,116599
1992-11-01,117457
1992-12-01,116757
1993-01-01,113390
1993-02-01,115240
1993-03-01,115874
1993-04-01,115562
1993-05-01,116577
1993-06-01,118140
1993-07-01,118217
1993-08-01,117762
1993-09-01,116084
1993-10-01,117835
1993-11-01,118741
1993-12-01,117313
1994-01-01,113764
1994-02-01,115888
1994-03-01,115221
1994-04-01,115406
1994-05-01,116611
1994-06-01,118478
1994-07-01,120669
1994-08-01,119851
1994-09-01,117740
1994-10-01,119161
1994-11-01,120309
1994-12-01,118704
1995-01-01,116893
1995-02-01,118254
1995-03-01,119377
1995-04-01,119330
1995-05-01,119208
1995-06-01,120507
1995-07-01,121734
1995-08-01,121375
1995-09-01,120154
1995-10-01,122029
1995-11-01,122489
1995-12-01,121059
1996-01-01,119183
1996-02-01,120522
1996-03-01,121357
1996-04-01,120734
1996-05-01,121161
1996-06-01,121986
1996-07-01,122166
1996-08-01,122336
1996-09-01,121914
1996-10-01,123052
1996-11-01,123842
1996-12-01,122634
1997-01-01,120648
1997-02-01,121827
1997-03-01,122798
1997-04-01,122458
1997-05-01,122365
1997-06-01,123596
1997-07-01,125092
1997-08-01,123402
1997-09-01,122455
1997-10-01,124038
1997-11-01,124514
1997-12-01,124112
1998-01-01,121884
1998-02-01,122792
1998-03-01,122505
1998-04-01,122658
1998-05-01,122353
1998-06-01,123131
1998-07-01,123575
1998-08-01,121838
1998-09-01,122071
1998-10-01,124155
1998-11-01,124045
1998-12-01,123620
1999-01-01,120985
1999-02-01,121912
1999-03-01,121989
1999-04-01,123087
1999-05-01,122836
1999-06-01,123515
