"Date","UEMP15T26"
1948-01-01,183
1948-02-01,162
1948-03-01,182
1948-04-01,215
1948-05-01,220
1948-06-01,204
1948-07-01,188
1948-08-01,204
1948-09-01,171
1948-10-01,188
1948-11-01,187
1948-12-01,206
1949-01-01,211
1949-02-01,244
1949-03-01,298
1949-04-01,325
1949-05-01,410
1949-06-01,455
1949-07-01,539
1949-08-01,578
1949-09-01,618
1949-10-01,632
1949-11-01,626
1949-12-01,552
1950-01-01,549
1950-02-01,541
1950-03-01,490
1950-04-01,450
1950-05-01,475
1950-06-01,445
1950-07-01,431
1950-08-01,335
1950-09-01,350
1950-10-01,266
1950-11-01,247
1950-12-01,265
1951-01-01,259
1951-02-01,188
1951-03-01,202
1951-04-01,154
1951-05-01,139
1951-06-01,143
1951-07-01,133
1951-08-01,132
1951-09-01,105
1951-10-01,170
1951-11-01,161
1951-12-01,166
1952-01-01,178
1952-02-01,160
1952-03-01,147
1952-04-01,124
1952-05-01,136
1952-06-01,142
1952-07-01,127
1952-08-01,149
1952-09-01,185
1952-10-01,142
1952-11-01,149
1952-12-01,134
1953-01-01,181
1953-02-01,127
1953-03-01,129
1953-04-01,110
1953-05-01,128
1953-06-01,120
1953-07-01,96
1953-08-01,111
1953-09-01,110
1953-10-01,124
1953-11-01,163
1953-12-01,197
1954-01-01,226
1954-02-01,380
1954-03-01,533
1954-04-01,496
1954-05-01,562
1954-06-01,563
1954-07-01,603
1954-08-01,582
1954-09-01,585
1954-10-01,555
1954-11-01,546
1954-12-01,434
1955-01-01,461
1955-02-01,387
1955-03-01,432
1955-04-01,411
1955-05-01,380
1955-06-01,333
1955-07-01,343
1955-08-01,260
1955-09-01,308
1955-10-01,328
1955-11-01,289
1955-12-01,295
1956-01-01,310
1956-02-01,269
1956-03-01,280
1956-04-01,271
1956-05-01,305
1956-06-01,330
1956-07-01,317
1956-08-01,308
1956-09-01,335
1956-10-01,283
1956-11-01,338
1956-12-01,308
1957-01-01,331
1957-02-01,305
1957-03-01,296
1957-04-01,283
1957-05-01,299
1957-06-01,266
1957-07-01,281
1957-08-01,310
1957-09-01,338
1957-10-01,357
1957-11-01,397
1957-12-01,471
1958-01-01,581
1958-02-01,657
1958-03-01,776
1958-04-01,876
1958-05-01,922
1958-06-01,970
1958-07-01,958
1958-08-01,926
1958-09-01,778
1958-10-01,778
1958-11-01,745
1958-12-01,663
1959-01-01,594
1959-02-01,545
1959-03-01,530
1959-04-01,408
1959-05-01,390
1959-06-01,415
1959-07-01,394
1959-08-01,407
1959-09-01,449
1959-10-01,436
1959-11-01,505
1959-12-01,453
1960-01-01,450
1960-02-01,412
1960-03-01,519
1960-04-01,465
1960-05-01,408
1960-06-01,458
1960-07-01,521
1960-08-01,517
1960-09-01,516
1960-10-01,623
1960-11-01,673
1960-12-01,588
1961-01-01,688
1961-02-01,751
1961-03-01,769
1961-04-01,796
1961-05-01,827
1961-06-01,723
1961-07-01,839
1961-08-01,749
1961-09-01,686
1961-10-01,659
1961-11-01,622
1961-12-01,623
1962-01-01,561
1962-02-01,561
