"Date","WITAYL9LFN"
1990-01-01,10193
1990-02-01,10187
1990-03-01,9995
1990-04-01,9855
1990-05-01,9880
1990-06-01,9840
1990-07-01,10004
1990-08-01,9968
1990-09-01,9909
1990-10-01,9986
1990-11-01,9867
1990-12-01,9881
1991-01-01,9992
1991-02-01,10009
1991-03-01,10081
1991-04-01,10116
1991-05-01,9958
1991-06-01,10225
1991-07-01,10049
1991-08-01,9842
1991-09-01,9761
1991-10-01,9958
1991-11-01,9842
1991-12-01,10117
1992-01-01,9909
1992-02-01,9828
1992-03-01,9847
1992-04-01,10169
1992-05-01,9947
1992-06-01,10261
1992-07-01,10119
1992-08-01,10097
1992-09-01,10025
1992-10-01,10074
1992-11-01,10234
1992-12-01,10114
1993-01-01,10261
1993-02-01,10382
1993-03-01,10261
1993-04-01,10341
1993-05-01,10505
1993-06-01,10400
1993-07-01,10284
1993-08-01,10174
1993-09-01,10250
1993-10-01,10222
1993-11-01,10271
1993-12-01,10296
1994-01-01,10614
1994-02-01,10762
1994-03-01,10617
1994-04-01,10619
1994-05-01,10748
1994-06-01,10696
1994-07-01,10767
1994-08-01,11042
1994-09-01,10825
1994-10-01,10730
1994-11-01,10731
1994-12-01,10455
1995-01-01,10642
1995-02-01,10653
1995-03-01,10820
1995-04-01,11161
1995-05-01,10882
1995-06-01,11118
1995-07-01,11025
1995-08-01,10852
1995-09-01,10541
1995-10-01,10588
1995-11-01,10533
1995-12-01,10368
1996-01-01,10466
1996-02-01,10712
1996-03-01,10638
1996-04-01,10859
1996-05-01,11026
1996-06-01,11117
1996-07-01,11230
1996-08-01,11086
1996-09-01,10821
1996-10-01,10724
1996-11-01,10638
1996-12-01,10525
1997-01-01,10621
1997-02-01,10801
1997-03-01,10695
1997-04-01,10714
1997-05-01,10560
1997-06-01,10833
1997-07-01,10955
1997-08-01,10941
1997-09-01,10755
1997-10-01,10693
1997-11-01,10684
1997-12-01,10733
1998-01-01,10526
1998-02-01,10713
1998-03-01,10553
1998-04-01,10515
1998-05-01,10505
1998-06-01,10647
1998-07-01,10752
1998-08-01,10407
1998-09-01,10271
1998-10-01,10371
1998-11-01,10319
1998-12-01,10369
1999-01-01,10398
1999-02-01,10363
1999-03-01,10179
1999-04-01,10140
1999-05-01,10215
1999-06-01,10406
1999-07-01,10578
1999-08-01,10641
1999-09-01,10346
1999-10-01,10402
1999-11-01,10301
1999-12-01,10273
2000-01-01,10848
2000-02-01,11056
2000-03-01,10878
2000-04-01,10779
2000-05-01,10956
2000-06-01,11006
2000-07-01,11277
2000-08-01,11219
2000-09-01,11036
2000-10-01,11060
2000-11-01,10906
2000-12-01,10804
2001-01-01,10908
2001-02-01,10945
2001-03-01,10971
2001-04-01,11131
2001-05-01,11077
2001-06-01,11319
2001-07-01,11326
2001-08-01,11493
2001-09-01,11219
2001-10-01,11146
2001-11-01,10903
2001-12-01,11025
2002-01-01,11079
2002-02-01,11113
2002-03-01,11174
2002-04-01,11185
2002-05-01,11061
2002-06-01,11006
2002-07-01,11165
2002-08-01,11096
2002-09-01,11264
2002-10-01,11466
2002-11-01,11247
2002-12-01,11321
2003-01-01,11620
2003-02-01,11554
2003-03-01,11641
2003-04-01,11646
2003-05-01,11690
2003-06-01,11864
2003-07-01,11737
2003-08-01,11690
2003-09-01,11489
2003-10-01,11846
2003-11-01,11791
2003-12-01,11701
2004-01-01,11903
2004-02-01,11718
2004-03-01,11673
2004-04-01,11446
2004-05-01,11374
2004-06-01,11642
2004-07-01,11616
2004-08-01,11363
2004-09-01,11119
2004-10-01,11052
2004-11-01,10994
2004-12-01,10917
2005-01-01,11070
2005-02-01,11069
2005-03-01,11036
2005-04-01,11147
2005-05-01,11384
2005-06-01,11406
2005-07-01,11407
2005-08-01,11192
2005-09-01,11094
2005-10-01,11032
2005-11-01,10909
2005-12-01,10833
2006-01-01,10978
2006-02-01,11081
2006-03-01,11008
2006-04-01,11046
2006-05-01,10900
2006-06-01,11033
2006-07-01,11058
2006-08-01,10988
2006-09-01,10928
2006-10-01,11055
2006-11-01,10820
2006-12-01,10865
2007-01-01,10490
2007-02-01,10667
2007-03-01,10758
2007-04-01,10649
2007-05-01,10569
2007-06-01,10617
2007-07-01,10424
2007-08-01,10255
2007-09-01,10353
2007-10-01,10389
2007-11-01,10195
2007-12-01,10256
2008-01-01,10391
2008-02-01,10503
2008-03-01,10608
2008-04-01,10723
2008-05-01,10552
2008-06-01,10794
2008-07-01,10457
2008-08-01,10221
2008-09-01,10291
2008-10-01,10414
2008-11-01,10340
2008-12-01,10415
2009-01-01,10885
2009-02-01,11023
2009-03-01,11131
2009-04-01,11041
2009-05-01,10804
2009-06-01,11104
2009-07-01,10929
2009-08-01,10666
2009-09-01,10598
2009-10-01,10536
2009-11-01,10415
2009-12-01,10513
2010-01-01,11614
2010-02-01,11788
2010-03-01,11596
2010-04-01,11529
2010-05-01,11326
2010-06-01,11487
2010-07-01,11480
2010-08-01,11419
2010-09-01,11356
2010-10-01,11308
2010-11-01,11245
2010-12-01,11245
2011-01-01,11520
2011-02-01,11483
2011-03-01,11357
2011-04-01,11254
2011-05-01,11173
2011-06-01,11654
2011-07-01,11314
2011-08-01,11328
2011-09-01,11115
2011-10-01,10994
2011-11-01,10936
2011-12-01,11056
2012-01-01,11115
2012-02-01,11119
2012-03-01,11080
2012-04-01,10909
2012-05-01,11026
2012-06-01,11432
2012-07-01,11337
2012-08-01,11128
2012-09-01,10980
2012-10-01,10910
2012-11-01,10868
2012-12-01,10874
2013-01-01,11189
2013-02-01,11120
2013-03-01,11005
2013-04-01,10833
2013-05-01,10864
2013-06-01,11242
2013-07-01,11262
2013-08-01,11082
2013-09-01,10972
2013-10-01,10871
2013-11-01,10795
2013-12-01,10591
2014-01-01,10709
2014-02-01,10585
2014-03-01,10642
2014-04-01,10553
2014-05-01,10481
2014-06-01,10842
2014-07-01,10788
2014-08-01,10580
2014-09-01,10574
2014-10-01,10684
2014-11-01,10564
2014-12-01,10490
2015-01-01,10726
2015-02-01,10589
2015-03-01,10680
2015-04-01,10676
2015-05-01,10617
2015-06-01,11196
2015-07-01,10882
2015-08-01,10555
2015-09-01,10486
2015-10-01,10717
2015-11-01,10423
2015-12-01,10520
2016-01-01,10891
2016-02-01,10795
2016-03-01,10871
2016-04-01,10913
2016-05-01,10924
2016-06-01,11483
2016-07-01,11316
2016-08-01,11157
2016-09-01,10964
2016-10-01,11072
2016-11-01,11037
2016-12-01,11146
2017-01-01,11228
2017-02-01,11035
2017-03-01,11102
2017-04-01,11034
2017-05-01,11027
2017-06-01,11588
2017-07-01,11197
2017-08-01,10969
2017-09-01,10990
2017-10-01,11208
2017-11-01,11153
2017-12-01,11161
2018-01-01,11144
2018-02-01,10941
2018-03-01,11055
2018-04-01,11027
2018-05-01,11008
2018-06-01,11519
2018-07-01,11093
2018-08-01,10807
2018-09-01,10839
2018-10-01,11026
2018-11-01,10983
2018-12-01,11155
2019-01-01,11269
2019-02-01,10898
2019-03-01,10818
2019-04-01,10883
2019-05-01,10803
2019-06-01,11351
2019-07-01,11062
2019-08-01,10884
2019-09-01,10810
2019-10-01,10865
2019-11-01,10763
2019-12-01,10937
2020-01-01,11018
2020-02-01,10853
2020-03-01,10839
2020-04-01,11091
2020-05-01,10951
2020-06-01,11445
2020-07-01,10946
2020-08-01,11068
2020-09-01,11002
2020-10-01,11064
2020-11-01,11084
2020-12-01,11303
2021-01-01,11497
2021-02-01,11469
2021-03-01,11497
2021-04-01,11314
2021-05-01,11140
2021-06-01,11296
2021-07-01,10938
2021-08-01,10832
2021-09-01,10735
2021-10-01,10719
2021-11-01,10685
2021-12-01,10749
2022-01-01,11068
2022-02-01,11112
2022-03-01,11196
2022-04-01,10926
2022-05-01,10609
2022-06-01,10835
2022-07-01,10281
2022-08-01,10238
2022-09-01,10114
2022-10-01,10078
2022-11-01,10075
2022-12-01,10134
2023-01-01,10435
2023-02-01,10654
2023-03-01,10649
2023-04-01,10789
2023-05-01,10631
2023-06-01,10990
2023-07-01,10619
2023-08-01,10535
2023-09-01,10445
2023-10-01,10315
